image_path,num_gt_tokens,num_pred_tokens,token_edits,token_error_rate,cer,error_tokens,error_entropies,error_probs
data/oldNepaliDataset_new/images/DNA_0001_0006/eSc_line_a98054da.png,27,26,1,0.037037037037037035,0.03846153989434242,ा,0.6316413283348083,0.8066737651824951
data/oldNepaliDataset_new/images/DNA_0013_0522/eSc_line_407e0c54.png,70,75,9,0.12857142857142856,0.1066666692495346,ं|ड|्|न|्|रभ|ं|ध|उ,0.0009508113726042211|1.762921929359436|0.1426791250705719|0.20124514400959015|0.00017510449106339365|0.3649004101753235|0.39954856038093567|0.22150325775146484|1.1180258989334106,0.9999265670776367|0.4109854996204376|0.978698194026947|0.9645406603813171|0.9999867677688599|0.9207263588905334|0.8890304565429688|0.9438242316246033|0.5127364993095398
data/oldNepaliDataset_new/images/DNA_1_00000137/eSc_line_abd0a4ba.png,55,55,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_1_00000356/eSc_line_36727847.png,45,45,4,0.08888888888888889,0.0416666679084301,ह|्,0.04456714540719986|9.203993249684572e-05,0.9924806356430054|0.9999933242797852
data/oldNepaliDataset_new/images/DNA_2_00000030_result/eSc_line_3b81bca8.png,38,38,7,0.18421052631578946,0.17391304671764374,तक|ह|व|ह|ां|्,0.04009329155087471|0.00015433900989592075|0.02124852128326893|1.4041037559509277|0.24563059210777283|1.2293019608478062e-05,0.994080126285553|0.9999890327453613|0.997061550617218|0.6806042790412903|0.9410925507545471|0.9999994039535522
data/oldNepaliDataset_new/images/DNA_1_00000316/eSc_line_fc6e9879.png,41,41,2,0.04878048780487805,0.043478261679410934,्|ा,0.0007757312268950045|0.024102037772536278,0.9999418258666992|0.9963679313659668
data/oldNepaliDataset_new/images/DNA_1_00000410/eSc_line_b1c5038e.png,35,35,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/CA__The Cambridge Manuscript_Page_003/eSc_line_4946f907.png,77,76,2,0.025974025974025976,0.023255813866853714,ट,0.7271367311477661,0.6411604285240173
data/oldNepaliDataset_new/images/DNA_0014_0135/eSc_line_86d45e02.png,54,54,0,0.0,0.0,,,
data/oldNepaliDataset_new/images/DNA_1_00000137/eSc_line_f5df72da.png,49,48,2,0.04081632653061224,0.05454545468091965,त|ुँ,0.05012650415301323|1.026475429534912,0.9916232228279114|0.6087768077850342
